Date,food contents,Values of food (g/pcs/cups),,,
,,morning,noon,afternoon,evening
9/28/2024,protein,0,0,71.3,7.15
,fruit,0,0,0,0
,Vegatables,0,0,0,1
,Carbohydrates,0,0,95.3,26.3
,Diay,0,0,0,0
,(added) Sugar,0,0,32.64,3
,Fat,0,0,17.3,2.28
,calories,0,0,831,239.4
9/29/2024,protein,34,27.5,33.2,0
,fruit,0,0,0,0
,Vegatables,0,1,3,0
,Carbohydrates,115.1,77.7,137.8,0
,Diay,1,0.5,0,0
,Sugar,12.3,25.3,33.1,0
,Fat,18.7,33,27,0
,calories,756,807,911,0
9/30/2024,protein,0,0,27.1,14.3
,fruit,0,0,0,0
,Vegatables,0,0,0,0
,Carbohydrates,0,0,10.1,157.1
,Diay,0,0,0,0
,Sugar,0,0,2.5,71.4
,Fat,0,0,22,25
,calories,0,0,357,858
10/1/2024,protein,0,5.1,29.2,51.4
,fruit,0,0,0,0
,Vegatables,0,0,4,1
,Carbohydrates,0,20.7,86.3,74.2
,Diay,0,0,0,0
,Sugar,0,5.2,4.6,7.5
,Fat,0,2.8,9.9,16.4
,calories,0,127,561,657
10/2/2024,protein,0,51.8,48,2.5
,fruit,0,0,0,0
,Vegatables,0,1,1,0
,Carbohydrates,0,74.9,38,13.4
,Diay,0,0.5,0,0.5
,Sugar,0,8.2,1.9,6.4
,Fat,0,16.9,14.1,6.8
,calories,0,666,478,124
10/3/2024,protein,0,7.2,61,2
,fruit,0,0,0,0
,Vegatables,0,0.5,0,0
,Carbohydrates,0,59.9,52.8,12.7
,Diay,0,1,0,0
,Sugar,0,0.98,1,5.6
,Fat,0,8.4,39.5,6.4
,calories,0,345,829,114
10/4/2024,protein,8,14.4,24.6,0
,fruit,0,0,0,0
,Vegatables,0,0,1,0
,Carbohydrates,88,91.4,42.1,0
,Diay,0,0,0,0
,Sugar,44,0.28,6.8,0
,Fat,14,18.3,21.9,0
,calories,480,964,469,0
10/5/2024,protein,0,4.4,114.3,4
,fruit,0,0,0,1
,Vegatables,0,0,2,0
,Carbohydrates,0,26.1,89.2,58.1
,Diay,0,0,0,0
,Sugar,0,13.6,7.4,6.6
,Fat,0,24.2,37.4,13.9
,calories,0,340,1165,367
10/6/2024,protein,0,12.7,29.6,1.5
,fruit,0,0,0,0
,Vegatables,0,0,3,0
,Carbohydrates,0,53.4,30.7,13.6
,Diay,0,0,0,0
,Sugar,0,5.9,5.9,5
,Fat,0,12.8,9.8,5.3
,calories,0,378,329,105
10/7/2024,protein,1.8,10.3,29.6,0
,fruit,2,3,0,0
,Vegatables,0,0,3,0
,Carbohydrates,52.1,113,30.7,0
,Diay,0,0,0,0
,Sugar,33.3,58.9,5.9,0
,Fat,0.7,12.4,9.8,0
,calories,200,583,329,0
10/8/2024,protein,12.6,0,76.3,6.7
,fruit,0,0,0,0
,Vegatables,0,0,4,0
,Carbohydrates,1.1,0,88,27.6
,Diay,0,0,1,0
,Sugar,1.1,0,24.6,2.3
,Fat,10.6,0,53.2,20.7
,calories,155,0,1479,323
10/9/2024,protein,32.4,13.3,23.8,0
,fruit,1,0,0,0
,Vegatables,0,1,1,0
,Carbohydrates,73.1,29.6,64.5,0
,Diay,0,0,0,0
,Sugar,20.5,6,2.9,0
,Fat,8.3,10.2,27,0
,calories,499,263,789,0
